League;Season;Date;Home;Away;FT_Goals_H;FT_Goals_A;FT_Odd_H;FT_Odd_D;FT_Odd_A;FT_Odd_Over25;FT_Result;Profit_Back_H;Profit_Back_D;Profit_Back_A;Profit_Lay_H;Profit_Lay_D;Profit_Lay_A;p_H;p_D;p_A;p_Over;p_H__p_D;p_H__p_A;p_D__p_A;p_D__p_Over;Media_SG_H;Media_SG_A;DesvPad_SG_H;DesvPad_SG_A;CV_SG_H;CV_SG_A;Media_Ptos_H;Media_Ptos_A;DesvPad_Ptos_H;DesvPad_Ptos_A;CV_Ptos_H;CV_Ptos_A;Media_VG_H;Media_VG_A;DesvPad_VG_H;DesvPad_VG_A;CV_VG_H;CV_VG_A;Media_CG_H;Media_CG_A;DesvPad_CG_H;DesvPad_CG_A;CV_CG_H;CV_CG_A;CV_HDA;CV_HD;CV_HA;CV_DA;CV_DO;Media_Odd_H;DesvPad_Odd_H;CV_Odd_H;Media_Odd_A;DesvPad_Odd_A;CV_Odd_A;FT_Odd_HA_DNB_H;FT_Odd_HA_DNB_A;Profit_HA_0_H;Profit_HA_0_A
CYPRUS - FIRST DIVISION;2021/2022;11/03/2022;Ol. Nicosia;AEL Limassol;0;1;2,5;2,88;2,75;2,14;A;-1;-1;1,8;0,57;0,46;-1;0,4;0,3472;0,3636;0,4673;1,152;1,1;0,9549;0,7431;0,1;-0,6;0,9944;1,4298;9,9443;-2,3831;1,6;0,8;1,2649;1,2293;0,7906;1,5366;0,3754;0,3641;0,3864;0,3444;1,0293;0,9459;0,3432;0,2226;0,1591;0,0613;0,4636;0,2753;0,0596;0,0706;0,0476;0,0231;0,1474;2,966;0,8667;0,2922;3,334;1,4205;0,4261;1,79;2,07;-1;1,07
PORTUGAL - LIGA PORTUGAL 2;2021/2022;06/03/2022;Trofense;SC Farense;1;1;2,8;2,87;2,5;2,35;D;-1;1,87;-1;0,47;-1;0,57;0,3571;0,3484;0,4;0,4255;1,025;0,8929;0,8711;0,8188;-0,3;-0,5;1,8886;1,5811;-6,2952;-3,1623;1,1;1;1,3703;1,1547;1,2457;1,1547;0,3394;0,3391;0,3731;0,2662;1,0993;0,7852;0,3266;0,3133;0,177;0,0809;0,542;0,2581;0,0612;0,0123;0,0566;0,0689;0,0996;2,722;0,8146;0,2993;2,628;0,5361;0,204;2,05;1,8;0;0
MEXICO - LIGA MX;2021/2022;05/03/2022;Queretaro;Atlas;0;3;2,9;2,8;2,8;2,87;A;-1;-1;1,84;0,45;0,47;-1;0,3448;0,3571;0,3571;0,3484;0,9655;0,9655;1;1,025;0;0,4;1,7638;1,7127;1;4,2817;1,4;1,5;1,4298;1,354;1,0213;0,9027;0,4486;0,5066;0,353;0,5921;0,787;1,1687;0,2913;0,2454;0,1132;0,1238;0,3887;0,5047;0,0164;0,0175;0,0175;0;0,0123;2,834;0,543;0,1916;3,054;0,6424;0,2104;2;1,85;-1;0,85
ROMANIA - LIGA 1;2021/2022;18/02/2022;U Craiova 1948;UTA Arad;1;1;2,9;2,87;2,5;2,87;D;-1;1,87;-1;0,45;-1;0,57;0,3448;0,3484;0,4;0,3484;0,9897;0,8621;0,8711;1;-0,4;0,1;1,4298;1,1005;-3,5746;11,005;1,1;1;1,3703;0,8165;1,2457;0,8165;0,2414;0,2271;0,3064;0,2515;1,2694;1,1074;0,3162;0,3002;0,1634;0,0868;0,5168;0,2893;0,0692;0,0052;0,0741;0,0689;0;3,235;1,2665;0,3915;3,22;1,3081;0,4063;2,05;1,8;0;0
ROMANIA - LIGA 1;2021/2022;29/01/2022;FC Rapid Bucuresti;UTA Arad;1;1;2,7;2,87;2,6;2,7;D;-1;1,87;-1;0,5;-1;0,53;0,3704;0,3484;0,3846;0,3704;1,063;0,963;0,9059;0,9408;0,2;0,1;1,1353;1,1972;5,6765;11,9722;1,3;1,1;1,2517;1,1005;0,9628;1,0005;0,3647;0,2595;0,3487;0,2436;0,9562;0,939;0,3283;0,3253;0,1699;0,114;0,5175;0,3504;0,0405;0,0305;0,0189;0,0494;0,0305;2,767;0,9955;0,3598;2,965;1,1937;0,4026;2;1,85;0;0
SPAIN - LALIGA2;2021/2022;09/01/2022;Malaga;Gijon;2;2;2,7;2,87;2,87;2,6;D;-1;1,87;-1;0,5;-1;0,46;0,3704;0,3484;0,3484;0,3846;1,063;1,063;1;0,9059;0,5;-0,5;1,1785;1,4337;2,357;-2,8674;2,2;0,9;1,3166;1,1972;0,5984;1,3302;0,3411;0,4151;0,1925;0,3821;0,5642;0,9206;0,3656;0,2675;0,126;0,1403;0,3447;0,5244;0,0291;0,0305;0,0305;0;0,0494;2,405;0,4752;0,1976;3,375;0,8156;0,2416;1,83;2,02;0;0
FRANCE - NATIONAL;2021/2022;07/01/2022;Red Star;Laval;1;2;2,5;2,85;2,75;2,28;A;-1;-1;1,8;0,57;0,46;-1;0,4;0,3509;0,3636;0,4386;1,14;1,1;0,9649;0,8;0,2;0,1;1,6865;0,9944;8,4327;9,9443;1,6;1,6;1,5055;1,5055;0,941;0,941;0,3666;0,3281;0,3412;0,2803;0,9307;0,8543;0,3258;0,3352;0,1506;0,1127;0,4623;0,3361;0,056;0,0654;0,0476;0,0179;0,1111;2,051;0,2763;0,1347;2,84;0,5004;0,1762;1,79;1,97;-1;0,97
SOUTH AFRICA - PREMIER LEAGUE;2021/2022;19/12/2021;Royal AM;Kaizer Chiefs;1;0;2,85;2,8;2,55;2,55;H;1,89;-1;-1;-1;0,47;0,55;0,3509;0,3571;0,3922;0,3922;0,9825;0,8947;0,9107;0,9107;0,3;0,1;1,1595;1,1972;3,865;11,9722;1,8;1,5;1,3166;1,354;0,7314;0,9027;0,3643;0,3451;0,3298;0,3557;0,9053;1,0307;0,3085;0,3618;0,1467;0,162;0,4756;0,4478;0,0495;0,0088;0,0556;0,0467;0,0467;2,513;0,4432;0,1764;2,67;0,9956;0,3729;2,02;1,78;1,02;-1
FRANCE - NATIONAL;2021/2022;10/12/2021;Chateauroux;Villefranche;0;0;2,43;2,8;2,9;2,43;D;-1;1,8;-1;0,59;-1;0,45;0,4115;0,3571;0,3448;0,4115;1,1523;1,1934;1,0357;0,8679;0,5;0,2;1,4337;1,3166;2,8674;6,5828;1,8;1,8;1,3166;1,3166;0,7314;0,7314;0,4015;0,3579;0,3881;0,3647;0,9667;1,0191;0,2971;0,2672;0,1849;0,0987;0,6223;0,3694;0,0781;0,0707;0,0882;0,0175;0,0707;2,769;1,9368;0,6995;2,494;0,4572;0,1833;1,72;2,07;0;0
SERBIA - SUPER LIGA;2021/2022;07/12/2021;FK Vozdovac;Vojvodina;3;1;2,63;2,85;2,45;1,92;H;1,67;-1;-1;-1;0,46;0,58;0,3802;0,3509;0,4082;0,5208;1,0837;0,9316;0,8596;0,6737;0;-0,3;1,3333;1,7029;1;-5,6765;1,4;1,2;1,1738;1,3166;0,8384;1,0971;0,326;0,3739;0,2722;0,352;0,8351;0,9416;0,3721;0,2756;0,1467;0,1461;0,3943;0,5302;0,0616;0,0401;0,0354;0,0755;0,195;2,535;1,8065;0,7126;4,003;3,6947;0,923;1,87;1,9;0,87;-1
CROATIA - PRVA NL;2021/2022;27/11/2021;Dugopolje;Varazdin;0;0;2,5;2,8;2,63;2,08;D;-1;1,8;-1;0,57;-1;0,52;0,4;0,3571;0,3802;0,4808;1,12;1,052;0,9393;0,7429;0;0,1;1,4142;1,2867;1;12,8668;1,6;1,3;1,5055;1,2517;0,941;0,9628;0,338;0,5197;0,293;0,5658;0,8671;1,0887;0,3631;0,2948;0,1328;0,1993;0,3658;0,6761;0,0462;0,0566;0,0253;0,0313;0,1475;2,081;0,3197;0,1536;3,104;3,1377;1,0109;1,97;1,84;0;0
SERBIA - SUPER LIGA;2021/2022;20/11/2021;Napredak;Radnicki Nis;1;1;2,65;2,8;2,5;2,2;D;-1;1,8;-1;0,52;-1;0,57;0,3774;0,3571;0,4;0,4545;1,0566;0,9434;0,8929;0,7857;0,9;-0,5;1,2867;1,354;1,4296;-2,708;2,2;0,9;1,3166;0,8756;0,5984;0,9729;0,359;0,2745;0,2732;0,3432;0,761;1,2501;0,442;0,3313;0,1896;0,1401;0,429;0,4229;0,0463;0,0275;0,0291;0,0566;0,12;2,375;1,8604;0,7833;4,629;4,8888;1,0561;1,89;1,91;0;0
ROMANIA - LIGA 1;2021/2022;19/11/2021;Chindia Targoviste;FC Rapid Bucuresti;2;2;2,9;2,8;2,5;2,87;D;-1;1,8;-1;0,45;-1;0,57;0,3448;0,3571;0,4;0,3484;0,9655;0,8621;0,8929;1,025;-0,3;0,3;1,1595;1,1595;-3,865;3,865;0,9;1,5;1,1972;1,354;1,3302;0,9027;0,3263;0,5204;0,349;0,4003;1,0695;0,7692;0,2858;0,2443;0,15;0,1252;0,5247;0,5124;0,0644;0,0175;0,0741;0,0566;0,0123;3,545;1,3716;0,3869;2,828;0,8782;0,3105;2,02;1,77;0;0
SPAIN - LALIGA2;2021/2022;15/11/2021;Malaga;Tenerife;1;0;2,9;2,87;2,87;2,87;H;1,94;-1;-1;-1;0,46;0,46;0,3448;0,3484;0,3484;0,3484;0,9897;0,9897;1;1;0,8;0,4;1,1353;1,2649;1,4191;3,1623;2,1;1,8;1,1972;1,3166;0,5701;0,7314;0,315;0,5947;0,2035;0,3622;0,646;0,609;0,3395;0,1778;0,1285;0,0623;0,3784;0,3505;0,0049;0,0052;0,0052;0;0;2,54;0,9058;0,3566;3,762;1,0574;0,2811;1,95;1,9;0,95;-1
BRAZIL - SERIE B;2021;11/11/2021;Ponte Preta;Botafogo RJ;0;0;2,7;2,8;2,6;2,6;D;-1;1,8;-1;0,5;-1;0,53;0,3704;0,3571;0,3846;0,3846;1,037;0,963;0,9286;0,9286;0,8;0,4;1,1353;1,5776;1,4191;3,9441;2,1;1,6;1,1972;1,2649;0,5701;0,7906;0,463;0,3797;0,3688;0,5564;0,7965;1,4657;0,3069;0,3269;0,1729;0,1419;0,5635;0,434;0,0303;0,0182;0,0189;0,037;0,037;2,108;0,3277;0,1555;2,655;0,4925;0,1855;1,84;2,05;0;0
SPAIN - LALIGA2;2021/2022;04/11/2021;UD Ibiza;Tenerife;0;0;2,75;2,87;2,87;2,7;D;-1;1,87;-1;0,49;-1;0,46;0,3636;0,3484;0,3484;0,3704;1,0436;1,0436;1;0,9408;0,3333;0,3;1,5055;1,3375;4,5166;4,4583;1,5;1,7;1,2247;1,4181;0,8165;0,8342;0,3755;0,5947;0,2811;0,3622;0,7487;0,609;0,3226;0,1778;0,1645;0,0623;0,51;0,3505;0,0203;0,0214;0,0214;0;0,0305;2,045;0,3035;0,1484;3,825;1,0163;0,2657;1,88;1,98;0;0
BRAZIL - SERIE B;2021;26/10/2021;Goias;Botafogo RJ;1;1;2,43;2,8;2,9;2,48;D;-1;1,8;-1;0,59;-1;0,45;0,4115;0,3571;0,3448;0,4032;1,1523;1,1934;1,0357;0,8857;0,7;-0,2;1,1595;1,0328;1,6564;-5,164;1,9;1,2;1,1972;1,3166;0,6301;1,0971;0,3933;0,2221;0,256;0,1963;0,6509;0,8838;0,3685;0,3941;0,1637;0,0747;0,4443;0,1896;0,0781;0,0707;0,0882;0,0175;0,0606;1,862;0,2245;0,1206;2,538;0,4601;0,1813;1,73;2,08;0;0
COLOMBIA - PRIMERA A;2021;24/10/2021;Huila;Santa Fe;1;2;2,9;2,87;2,45;2,5;A;-1;-1;1,5;0,45;0,46;-1;0,3448;0,3484;0,4082;0,4;0,9897;0,8448;0,8537;0,8711;-0,6;0,4;1,3499;1,3499;-2,2498;3,3747;0,7;1,8;0,9487;1,3166;1,3553;0,7314;0,3256;0,4049;0,3979;0,298;1,222;0,736;0,3073;0,2966;0,1213;0,1292;0,3948;0,4355;0,0791;0,0052;0,0841;0,0789;0,0689;2,647;0,5067;0,1914;2,845;0,8227;0,2892;2,05;1,75;-1;0,75
ARMENIA - PREMIER LEAGUE;2021/2022;22/10/2021;Noah;Ararat Yerevan;2;2;2,48;2,8;2,75;1,91;D;-1;1,8;-1;0,57;-1;0,49;0,4032;0,3571;0,3636;0,5236;1,129;1,1089;0,9821;0,6821;1,2;-0,3;1,8135;1,6364;1,5113;-5,4546;2,1;1,4;1,4491;1,4298;0,6901;1,0213;0,4751;0,2169;0,3358;0,2643;0,7069;1,2187;0,3469;0,4469;0,2078;0,1911;0,5991;0,4275;0,0544;0,0606;0,0516;0,009;0,189;2,0478;0,5092;0,2487;2,265;0,9262;0,4089;1,71;2,19;0;0
BRAZIL - SERIE C;2021;18/10/2021;Tombense;Novorizontino;1;2;2,7;2,85;2,6;2,35;A;-1;-1;1,65;0,5;0,46;-1;0,3704;0,3509;0,3846;0,4255;1,0556;0,963;0,9123;0,8246;1;0,2;1,2472;2,3944;1,2472;11,9722;2;1,6;1,0541;1,5055;0,527;0,941;0,4728;0,5841;0,2942;0,4997;0,6223;0,8556;0,2863;0,2695;0,1163;0,1457;0,4063;0,5407;0,0375;0,027;0,0189;0,0459;0,0962;2,024;0,3309;0,1635;2,431;0,3234;0,133;1,88;1,96;-1;0,96
BRAZIL - SERIE B;2021;12/10/2021;Cruzeiro;Botafogo RJ;0;0;2,6;2,8;2,7;2,7;D;-1;1,8;-1;0,53;-1;0,5;0,3846;0,3571;0,3704;0,3704;1,0769;1,0385;0,9643;0,9643;0;-0,2;1,3333;1,0328;1;-5,164;1,4;1,2;1,1738;1,3166;0,8384;1,0971;0,2193;0,2646;0,1545;0,1888;0,7045;0,7133;0,4869;0,3846;0,1649;0,0727;0,3386;0,1889;0,0303;0,037;0,0189;0,0182;0,0182;1,804;0,3078;0,1706;2,573;0,4864;0,189;1,77;2,05;0;0
SOUTH KOREA - K LEAGUE 2;2021;26/09/2021;Asan;Jeonnam;0;0;2,87;2,87;2,45;2,6;D;-1;1,87;-1;0,46;-1;0,58;0,3484;0,3484;0,4082;0,3846;1;0,8537;0,8537;0,9059;-0,2;0,6;1,3984;0,9661;-6,9921;1,6102;1,3;1,9;1,4944;1,1972;1,1496;0,6301;0,4567;0,4427;0,5908;0,2449;1,2935;0,5532;0,21;0,3208;0,1214;0,1104;0,5779;0,3441;0,0764;0;0,0789;0,0789;0,0494;2,985;0,4995;0,1673;2,732;0,5813;0,2128;2,08;1,73;0;0
SOUTH KOREA - K LEAGUE 1;2021;26/09/2021;Suwon Bluewings;Seoul;0;2;2,6;2,8;2,87;2,5;A;-1;-1;1,91;0,53;0,47;-1;0,3846;0,3571;0,3484;0,4;1,0769;1,1038;1,025;0,8929;-0,4;-0,3;1,1738;0,6749;-2,9345;-2,2498;1;0,8;1,1547;0,9189;1,1547;1,1487;0,3992;0,5475;0,3514;0,425;0,8801;0,7762;0,3464;0,2299;0,1611;0,121;0,4652;0,5265;0,0424;0,037;0,0494;0,0123;0,0566;2,393;0,3463;0,1447;4,202;1,5994;0,3806;1,77;2,02;-1;1,02
BRAZIL - SERIE C;2021;25/09/2021;EC Sao Jose;Ypiranga FC;1;1;2,8;2,8;2,5;2,55;D;-1;1,8;-1;0,47;-1;0,57;0,3571;0,3571;0,4;0,3922;1;0,8929;0,8929;0,9107;0,6;0;0,9661;1,0541;1,6102;1;1,9;1,2;1,1972;1,3166;0,6301;1,0971;0,4219;0,5557;0,4546;0,3604;1,0775;0,6486;0,3202;0,2824;0,1605;0,1218;0,5012;0,4312;0,0544;0;0,0566;0,0566;0,0467;2,412;0,3269;0,1355;3;0,6254;0,2085;1,97;1,87;0;0
BRAZIL - SERIE B;2021;23/09/2021;CSA;Botafogo RJ;2;0;2,88;2,8;2,45;2,6;H;1,92;-1;-1;-1;0,47;0,58;0,3472;0,3571;0,4082;0,3846;0,9722;0,8507;0,875;0,9286;0,3;-0,4;1,2517;1,1738;4,1722;-2,9345;1,5;1,1;1,354;1,3703;0,9027;1,2457;0,3964;0,3129;0,4273;0,1748;1,078;0,5586;0,2834;0,3739;0,174;0,0738;0,6139;0,1975;0,072;0,0141;0,0807;0,0667;0,037;2,477;0,3345;0,1351;2,678;0,5242;0,1957;2,05;1,74;1,05;-1
PERU - LIGA 1;2021;23/09/2021;Dep. Municipal;Sport Huancayo;2;2;2,87;2,8;2,55;2,7;D;-1;1,8;-1;0,46;-1;0,55;0,3484;0,3571;0,3922;0,3704;0,9756;0,8885;0,9107;0,9643;-0,3;-0,5;1,6364;1,2693;-5,4546;-2,5386;1,2;1;1,3166;1,1547;1,0971;1,1547;0,302;0,217;0,2974;0,235;0,9845;1,083;0,3074;0,3403;0,1142;0,0705;0,3715;0,2072;0,0516;0,0123;0,059;0,0467;0,0182;2,937;0,8493;0,2892;2,934;0,6307;0,215;2,02;1,77;0;0
ARGENTINA - LIGA PROFESIONAL;2021;18/09/2021;Racing Club;Talleres Cordoba;1;2;2,62;2,87;2,7;2,7;A;-1;-1;1,74;0,53;0,46;-1;0,3817;0,3484;0,3704;0,3704;1,0954;1,0305;0,9408;0,9408;0,5;0,2;0,7071;2,0976;1,4142;10,4881;1,8;1,4;1,0328;1,4298;0,5738;1,0213;0,2001;0,5956;0,1644;0,3921;0,8218;0,6583;0,465;0,2486;0,133;0,1049;0,2861;0,422;0,0376;0,0455;0,015;0,0305;0,0305;2,069;0,3752;0,1813;2,69;0,4841;0,18;1,93;1,93;-1;0,93
BRAZIL - SERIE C;2021;18/09/2021;Botafogo SP;Figueirense;1;2;2,55;2,8;2,8;2,75;A;-1;-1;1,84;0,55;0,47;-1;0,3922;0,3571;0,3571;0,3636;1,098;1,098;1;0,9821;-0,3;-0,7;1,7029;1,4181;-5,6765;-2,0259;1,5;0,8;1,5811;1,2293;1,0541;1,5366;0,4124;0,3319;0,2773;0,3197;0,6722;0,9633;0,3695;0,2581;0,1417;0,09;0,3834;0,3485;0,0448;0,0467;0,0467;0;0,009;2,505;0,5024;0,2006;3,88;0,7536;0,1942;1,8;2,06;-1;1,06
FRANCE - NATIONAL;2021/2022;17/09/2021;Red Star;Villefranche;0;1;2,5;2,8;2,85;2,38;A;-1;-1;1,89;0,57;0,47;-1;0,4;0,3571;0,3509;0,4202;1,12;1,14;1,0179;0,85;0,2;0,2;1,3166;1,3984;6,5828;6,9921;1,4;1,6;1,1738;1,2649;0,8384;0,7906;0,2133;0,4407;0,2105;0,3563;0,9869;0,8085;0,413;0,2424;0,1354;0,0828;0,3278;0,3418;0,0591;0,0566;0,0654;0,0088;0,0811;1,936;0,2128;0,1099;2,599;0,5309;0,2043;1,76;2,02;-1;1,02
SOUTH KOREA - K LEAGUE 1;2021;12/09/2021;Seongnam;Seoul;1;1;2,8;2,8;2,8;3;D;-1;1,8;-1;0,47;-1;0,47;0,3571;0,3571;0,3571;0,3333;1;1;1;1,0714;-0,7;-0,2;1,6364;0,7888;-2,3377;-3,9441;0,8;1;1,2293;1,1547;1,5366;1,1547;0,2884;0,6027;0,2852;0,4333;0,9891;0,7189;0,3143;0,2042;0,1353;0,1116;0,4305;0,5466;0;0;0;0;0,0345;3,252;1,0708;0,3293;4,252;1,5579;0,3664;1,9;1,9;0;0
BRAZIL - SERIE D;2021;11/09/2021;Atletico-CE;Juazeirense;1;1;2,54;2,86;2,92;2,24;D;-1;1,86;-1;0,55;-1;0,45;0,3937;0,3497;0,3425;0,4464;1,126;1,1496;1,021;0,7832;0,6;0;1,4298;1,7638;2,3831;1;2;1,4;1,3333;1,1738;0,6667;0,8384;0,4357;0,453;0,2985;0,3998;0,6851;0,8825;0,2911;0,2558;0,12;0,1003;0,4122;0,3921;0,0626;0,0593;0,0696;0,0104;0,1216;2,025;0,6684;0,3301;3,285;1,2204;0,3715;1,78;2,04;0;0
BRAZIL - SERIE B;2021;06/09/2021;Avai;Vasco;3;1;2,65;2,87;2,74;2,88;H;1,69;-1;-1;-1;0,46;0,49;0,3774;0,3484;0,365;0,3472;1,083;1,034;0,9547;1,0035;0,3;-0,5;1,0593;1,0801;3,5312;-2,1602;1,7;0,9;1,4181;1,1972;0,8342;1,3302;0,2953;0,3121;0,1619;0,2562;0,5484;0,8209;0,4513;0,3452;0,1327;0,1136;0,2939;0,3292;0,0326;0,0399;0,0167;0,0232;0,0017;2,047;0,269;0,1314;2,632;0,3666;0,1393;1,92;1,96;0,92;-1
BRAZIL - SERIE C;2021;04/09/2021;Jacuipense;Manaus;0;1;2,72;2,84;2,76;2,72;A;-1;-1;1,8;0,5;0,47;-1;0,3676;0,3521;0,3623;0,3676;1,0441;1,0147;0,9718;0,9577;0,2;-0,9;1,1353;1,8529;5,6765;-2,0588;1,6;0,9;1,2649;1,1972;0,7906;1,3302;0,2997;0,5951;0,2598;0,4072;0,8668;0,6843;0,3331;0,2098;0,1278;0,0769;0,3836;0,3665;0,0179;0,0216;0,0073;0,0143;0,0216;2,55;0,6019;0,236;3,654;0,562;0,1538;1,96;1,89;-1;0,89
EGYPT - PREMIER LEAGUE;2020/2021;28/08/2021;Arab Contractors;Al Ittihad;1;3;2,7;2,8;2,7;2,07;A;-1;-1;1,74;0,5;0,47;-1;0,3704;0,3571;0,3704;0,4831;1,037;1;0,9643;0,7393;-0,3;0,3;1,2517;0,8233;-4,1722;2,7442;1,3;1,5;1,4944;1,0801;1,1496;0,7201;0,2319;0,3512;0,2771;0,3089;1,1949;0,8798;0,326;0,3108;0,135;0,1275;0,4142;0,4104;0,017;0,0182;0;0,0182;0,1499;2,905;1,5694;0,5402;2,65;0,4441;0,1676;1,87;1,88;-1;0,88
SOUTH AFRICA - PREMIER LEAGUE;2021/2022;25/08/2021;Royal AM;Cape Town City;1;2;2,65;2,88;2,65;2,75;A;-1;-1;1,69;0,52;0,46;-1;0,3774;0,3472;0,3774;0,3636;1,0868;1;0,9201;0,9549;0,1;-0,4;0,8756;1,4298;8,756;-3,5746;1,5;1;1,0801;1,1547;0,7201;1,1547;0,4008;0,273;0,3245;0,3317;0,8097;1,2152;0,3383;0,2986;0,158;0,1118;0,467;0,3745;0,0387;0,0416;0;0,0416;0,0231;2,68;0,6571;0,2452;3,23;1,149;0,3557;1,94;1,9;-1;0,9
USA - USL CHAMPIONSHIP;2021;23/08/2021;Austin Bold;New Mexico;1;1;2,6;2,85;2,65;2,28;D;-1;1,85;-1;0,53;-1;0,52;0,3846;0,3509;0,3774;0,4386;1,0962;1,0192;0,9298;0,8;0;-0,6;1,4142;1,4298;1;-2,3831;1,5;0,8;1,354;1,2293;0,9027;1,5366;0,361;0,3696;0,3121;0,3104;0,8647;0,84;0,3466;0,3245;0,1451;0,0963;0,4188;0,2967;0,0391;0,0459;0,0095;0,0364;0,1111;2,185;0,3909;0,1789;2,493;0,5829;0,2338;1,82;1,98;0;0
BRAZIL - SERIE B;2021;17/08/2021;Nautico;Cruzeiro;0;1;2,63;2,88;2,6;2,35;A;-1;-1;1,65;0,52;0,46;-1;0,3802;0,3472;0,3846;0,4255;1,0951;0,9886;0,9028;0,816;0,7;-0,3;2,2632;0,9487;3,2332;-3,1623;1,9;1;1,1972;1,1547;0,6301;1,1547;0,436;0,3419;0,3965;0,4319;0,9094;1,2633;0,39;0,3405;0,1908;0,1534;0,4892;0,4504;0,045;0,0454;0,0057;0,0511;0,1013;1,903;0,5019;0,2637;2,411;0,294;0,122;1,97;1,92;-1;0,92
EGYPT - PREMIER LEAGUE;2020/2021;15/08/2021;El-Entag El-Harby;Misr Lel Makkasa;2;1;2,6;2,88;2,75;2,1;H;1,65;-1;-1;-1;0,46;0,49;0,3846;0,3472;0,3636;0,4762;1,1077;1,0577;0,9549;0,7292;-0,9;-0,4;0,8756;1,4298;-0,9729;-3,5746;0,4;1;0,5164;1,1547;1,291;1,1547;0,4376;0,4693;0,5818;0,353;1,3294;0,7522;0,2744;0,2453;0,1731;0,1003;0,631;0,4089;0,0419;0,0511;0,028;0,0231;0,1566;4,78;3,7715;0,789;3,847;1,3741;0,3572;1,82;1,93;0,82;-1
BRAZIL - SERIE B;2021;07/08/2021;CSA;Avai;0;0;2,45;2,8;2,88;2,6;D;-1;1,8;-1;0,58;-1;0,46;0,4082;0,3571;0,3472;0,3846;1,1429;1,1755;1,0286;0,9286;0,1;0,2;0,7379;1,8738;7,3786;9,369;1,4;1,5;1,1738;1,354;0,8384;0,9027;0,3165;0,5381;0,327;0,5382;1,0331;1,0001;0,4129;0,1689;0,2283;0,0793;0,5529;0,4698;0,072;0,0667;0,0807;0,0141;0,037;2,217;0,5202;0,2346;3,715;1,4633;0,3939;1,81;2,1;0;0
BRAZIL - SERIE B;2021;31/07/2021;Vitoria;Avai;0;0;2,43;2,85;2,85;2,63;D;-1;1,85;-1;0,59;-1;0,46;0,4115;0,3509;0,3509;0,3802;1,1728;1,1728;1;0,9228;0,2;0;0,9189;2;4,5947;1;1,4;1,4;1,1738;1,4298;0,8384;1,0213;0,2855;0,5381;0,2823;0,5382;0,989;1,0001;0,4079;0,1689;0,1578;0,0793;0,3867;0,4698;0,077;0,0795;0,0795;0;0,0401;2,285;0,4441;0,1943;3,667;1,5021;0,4096;1,8;2,11;0;0
BRAZIL - SERIE C;2021;17/07/2021;Santa Cruz;Tombense;0;1;2,55;2,85;2,7;2,55;A;-1;-1;1,74;0,55;0,46;-1;0,3922;0,3509;0,3704;0,3922;1,1176;1,0588;0,9474;0,8947;0,2;-0,4;1,4757;0,8433;7,3786;-2,1082;1,3;0,8;1,2517;0,9189;0,9628;1,1487;0,4329;0,4276;0,3687;0,2946;0,8517;0,689;0,3338;0,293;0,1715;0,1013;0,5137;0,3457;0,0454;0,0556;0,0286;0,027;0,0556;2,251;0,8684;0,3858;3,33;0,8702;0,2613;1,89;1,95;-1;0,95
BRAZIL - SERIE B;2021;13/07/2021;Coritiba;Vasco;1;1;2,45;2,85;2,85;2,9;D;-1;1,85;-1;0,58;-1;0,46;0,4082;0,3509;0,3509;0,3448;1,1633;1,1633;1;1,0175;0,2;-0,9;1,1353;1,3703;5,6765;-1,5226;1,6;0,7;1,2649;0,9487;0,7906;1,3553;0,4297;0,2478;0,3735;0,2737;0,8693;1,1046;0,3164;0,2829;0,158;0,1008;0,4992;0,3563;0,073;0,0755;0,0755;0;0,0087;2,931;1,1774;0,4017;4,204;2,1585;0,5134;1,83;1,99;0;0
BRAZIL - SERIE B;2021;30/06/2021;Londrina;Avai;1;3;2,55;2,8;2,75;2,48;A;-1;-1;1,8;0,55;0,47;-1;0,3922;0,3571;0,3636;0,4032;1,098;1,0784;0,9821;0,8857;0,3;-0,3;0,6749;1,6364;2,2498;-5,4546;1,7;1,4;1,1595;1,4298;0,6821;1,0213;0,3805;0,4905;0,3877;0,4117;1,0189;0,8393;0,2633;0,2119;0,1391;0,09;0,5281;0,4246;0,041;0,0467;0,0377;0,009;0,0606;2,52;0,4322;0,1715;3,947;1,4571;0,3692;2,05;1,85;-1;0,85
BRAZIL - SERIE B;2021;29/06/2021;Confianca;Coritiba;0;1;2,45;2,88;2,8;2,7;A;-1;-1;1,84;0,58;0,46;-1;0,4082;0,3472;0,3571;0,3704;1,1755;1,1429;0,9722;0,9375;-0,3;-0,7;1,767;1,567;-5,8899;-2,2386;1,1;1;1,3703;1,4142;1,2457;1,4142;0,3556;0,3782;0,4477;0,3519;1,2589;0,9306;0,385;0,2084;0,1682;0,113;0,437;0,5423;0,072;0,0807;0,0667;0,0141;0,0323;2,465;0,777;0,3152;5,718;2,8983;0,5069;1,79;2,1;-1;1,1
